V1, V2
1102,1884
1102,2325
1102,2341
1102,2341
1102,3066
1102,3097
1102,2628
1102,2985
1102,2662
1102,2985
1102,2451
1102,2802
1102,3861
1102,2056
1102,3816
1102,2802
1102,3432
1102,2254
1102,3564
1102,2183
1103,2479
1104,2865
1104,2654
1104,2002
1104,3206
1104,3206
1104,3571
1104,3537
1106,3364
1106,3478
1106,2307
1108,2750
1108,2079
1108,2705
1108,2079
1109,2402
1110,2402
1111,3903
1112,2333
1112,3638
1112,3363
1112,3155
1112,2482
1113,2333
1113,3638
1113,3363
1113,3155
1113,2482
1116,1923
1116,2449
1120,2614
1120,3854
1120,2372
1121,2577
1121,2932
1121,2932
1121,2932
1122,3358
1122,2907
1122,2377
1122,2801
1122,2969
1122,2033
1124,2235
1125,3364
1125,2457
1125,3478
1125,2307
1131,3602
1131,2579
1131,3764
1131,3445
1131,3754
1131,3291
1131,2030
1131,3454
1131,3754
1132,3602
1132,2579
1132,2685
1132,2617
1132,3764
1132,3445
1132,3754
1132,3291
1132,2030
1132,3454
1132,3754
1135,2695
1135,3100
1135,3029
1144,3430
1144,2926
1144,3825
1144,3592
1144,2974
1144,2317
1144,2425
1144,2867
1144,3298
1144,2207
1144,3758
1147,3350
1148,3528
1148,3290
1148,3742
1148,2683
1148,3742
1148,3251
1148,3528
1148,3591
1148,3290
1148,2386
1148,3561
1149,3727
1150,3359
1153,1939
1153,2027
1153,1955
1153,2610
1153,2869
1153,3699
1154,2113
1154,2860
1154,3613
1154,3037
1157,3741
1157,2043
1157,2908
1157,3601
1157,3696
1157,3754
1157,2043
1160,2200
1160,1993
1160,2601
1160,2099
1160,3140
1160,3142
1160,2049
1162,3308
1164,3894
1164,2895
1164,2261
1164,2057
1164,2446
1164,2428
1164,2057
1164,3250
1164,2057
1164,2057
1164,2057
1164,3607
1164,3479
1164,2790
1164,3555
1164,3907
1164,3144
1164,2227
1164,2116
1164,3661
1164,2464
1164,3254
1164,2381
1164,1948
1164,3134
1164,2245
1164,2583
1164,2125
1164,2403
1166,3894
1166,2895
1166,2261
1166,2057
1166,2446
1166,2428
1166,2057
1166,3250
1166,2057
1166,2057
1166,2057
1166,3607
1166,3479
1166,2790
1166,3555
1166,3907
1166,3144
1166,2227
1166,2116
1166,3661
1166,2464
1166,3254
1166,2381
1166,1948
1166,3134
1166,2245
1166,2583
1166,2125
1166,2403
1167,3048
1167,3048
1167,1952
1167,2801
1167,3313
1167,2443
1168,2930
1168,2109
1169,3212
1169,3554
1169,3784
1169,3784
1169,2921
1169,3588
1175,2235
1175,2400
1175,2580
1175,2235
1176,2826
1176,2355
1176,2801
1183,1940
1183,3446
1184,2031
1184,1924
1184,3259
1185,2031
1185,1924
1185,3259
1187,2800
1187,3069
1187,3774
1187,3022
1187,2054
1187,3022
1188,2119
1189,2920
1189,2410
1189,1985
1189,3372
1189,2655
1189,2766
1189,2920
1189,3372
1189,2831
1189,2410
1191,3267
1191,2928
1191,3238
1191,2633
1191,2460
