id, ECLI, rechtsgebied, subrechtsgebied
2596, ECLI:NL:RVS:2015:2109, Bestuursrecht, 
2597, ECLI:NL:RVS:2022:3295, Bestuursrecht, 
2598, ECLI:NL:GHARL:2024:5796, Bestuursrecht, Bestuursstrafrecht
2599, ECLI:NL:HR:2017:293, Bestuursrecht, Belastingrecht
2600, ECLI:NL:RVS:2019:1951, Bestuursrecht, 
2601, ECLI:NL:HR:2019:505, Civiel recht, 
2602, ECLI:NL:RBMNE:2023:4482, Bestuursrecht, 
2603, ECLI:NL:GHARL:2017:3345, Bestuursrecht, Bestuursstrafrecht
2604, ECLI:NL:HR:2013:2123, Civiel recht, 
2605, ECLI:NL:RVS:2017:292, Bestuursrecht, Vreemdelingenrecht
2606, ECLI:NL:RVS:2023:1242, Bestuursrecht, 
2607, ECLI:NL:RBMNE:2023:4481, Bestuursrecht, 
2608, ECLI:NL:GHDHA:2023:2776, Bestuursrecht, Belastingrecht
2609, ECLI:NL:RBROT:2023:9694, Civiel recht, Insolventierecht
2610, ECLI:NL:CRVB:2019:1548, Bestuursrecht, Socialezekerheidsrecht
2611, ECLI:NL:HR:2020:809, Civiel recht, 
2612, ECLI:NL:RBDHA:2022:3776, Bestuursrecht, Vreemdelingenrecht
2613, ECLI:NL:RVS:2019:3980, Bestuursrecht, 
2614, ECLI:NL:RVS:2022:1440, Bestuursrecht, Vreemdelingenrecht
2615, ECLI:NL:CRVB:2023:952, Bestuursrecht, Socialezekerheidsrecht
2616, ECLI:NL:GHAMS:2021:3978, Civiel recht, 
2617, ECLI:NL:CRVB:2009:BK8306, Bestuursrecht, Socialezekerheidsrecht
2618, ECLI:NL:GHSHE:2023:246, Bestuursrecht, Belastingrecht
2619, ECLI:NL:GHSGR:1987:AC1600, Bestuursrecht, Belastingrecht
2620, ECLI:NL:HR:1997:ZC2404, Civiel recht, 
2621, ECLI:NL:RVS:2023:3874, Bestuursrecht, Vreemdelingenrecht
2622, ECLI:NL:RVS:2021:1956, Bestuursrecht, 
2623, ECLI:NL:RVS:2023:397, Bestuursrecht, 
