id, ECLI, rechtbank, rechtsgebied, subrechtsgebied
323, ECLI:NL:RBDHA:2022:5724, Bestuursrecht, Vreemdelingenrecht
324, ECLI:NL:HR:2023:1703, Bestuursrecht, Belastingrecht
325, ECLI:NL:CRVB:2016:4813, Bestuursrecht, Socialezekerheidsrecht
326, ECLI:NL:RVS:2022:1361, Bestuursrecht, 
327, ECLI:NL:CRVB:2019:3123, Bestuursrecht, Socialezekerheidsrecht
328, ECLI:NL:GHSHE:2025:1496, Bestuursrecht, Belastingrecht
329, ECLI:NL:RBOVE:2025:1228, Civiel recht, 
330, ECLI:NL:HR:2019:393, Bestuursrecht, Belastingrecht
331, ECLI:NL:RBAMS:2025:7126, Strafrecht, Internationaal strafrecht
332, ECLI:NL:HR:2014:2146, Bestuursrecht, Belastingrecht
333, ECLI:NL:GHAMS:2024:1524, Bestuursrecht, Belastingrecht
334, ECLI:NL:HR:2002:AE4553, Civiel recht, 
335, ECLI:NL:HR:2025:322, Civiel recht, 
336, ECLI:NL:GHARL:2025:688, Civiel recht, 
337, ECLI:NL:HR:2025:985, Strafrecht, 
338, ECLI:NL:GHDHA:2024:191, Civiel recht, 
339, ECLI:NL:GHSHE:2025:1320, Bestuursrecht, Belastingrecht
340, ECLI:NL:HR:2024:1281, Civiel recht, Verbintenissenrecht
341, ECLI:NL:RBAMS:2025:6898, Strafrecht, Europees strafrecht
342, ECLI:NL:HR:2003:AF8560, Civiel recht, 
343, ECLI:NL:HR:2006:AZ0758, Civiel recht, 
344, ECLI:NL:RBROT:2025:4483, Bestuursrecht, Bestuursprocesrecht
345, ECLI:NL:RVS:2019:1001, Bestuursrecht, Vreemdelingenrecht
346, ECLI:NL:CRVB:2024:1450, Bestuursrecht, Socialezekerheidsrecht
347, ECLI:NL:HR:2021:709, Bestuursrecht, Belastingrecht
348, ECLI:NL:RVS:2016:596, Bestuursrecht, Omgevingsrecht
349, ECLI:NL:RBAMS:2022:1794, Strafrecht, 
350, ECLI:NL:RBOVE:2025:4598, Strafrecht, 
351, ECLI:NL:GHAMS:2021:2745, Bestuursrecht, Belastingrecht
352, ECLI:NL:RBDHA:2024:1859, Bestuursrecht, Vreemdelingenrecht
353, ECLI:NL:RVS:2023:176, Bestuursrecht, 
354, ECLI:NL:RVS:2020:1560, Bestuursrecht, Vreemdelingenrecht
355, ECLI:NL:HR:2019:1734, Civiel recht, Arbeidsrecht
356, ECLI:NL:PHR:2025:818, Bestuursrecht, Belastingrecht
357, ECLI:NL:GHARL:2022:2330, Bestuursrecht, Bestuursstrafrecht
358, ECLI:NL:RBROT:2023:4949, Bestuursrecht, 
359, ECLI:NL:RBGEL:2024:3, Bestuursrecht, Socialezekerheidsrecht
360, ECLI:NL:CRVB:2013:BY9138, Bestuursrecht, Socialezekerheidsrecht
361, ECLI:NL:RVS:2018:174, Bestuursrecht, Vreemdelingenrecht
362, ECLI:NL:RVS:2012:BW0601, Bestuursrecht, Vreemdelingenrecht
363, ECLI:NL:RVS:2023:772, Bestuursrecht, 
364, ECLI:NL:RVS:2025:717, Bestuursrecht, Vreemdelingenrecht
365, ECLI:NL:HR:2018:1935, Civiel recht, 
366, ECLI:NL:RBDHA:2025:136, Bestuursrecht, Vreemdelingenrecht
367, ECLI:NL:CRVB:2020:887, Bestuursrecht, Socialezekerheidsrecht
368, ECLI:NL:RBMNE:2023:1882, Civiel recht, 
369, ECLI:NL:HR:2023:1789, Bestuursrecht, Belastingrecht
370, ECLI:NL:HR:2023:462, Strafrecht, 
371, ECLI:NL:GHAMS:2025:1252, Bestuursrecht, Belastingrecht
372, ECLI:NL:GHARL:2024:5445, Civiel recht, 
373, ECLI:NL:HR:2009:BH1083, Bestuursrecht, Belastingrecht
374, ECLI:NL:GHARL:2025:3430, Bestuursrecht, Belastingrecht
375, ECLI:NL:GHSHE:2016:1483, Bestuursrecht, Belastingrecht
376, ECLI:NL:RBLIM:2023:6945, Bestuursrecht, Vreemdelingenrecht
377, ECLI:NL:CRVB:2021:402, Bestuursrecht, Socialezekerheidsrecht
378, ECLI:NL:OGEAA:2025:12, Bestuursrecht, Belastingrecht
379, ECLI:NL:RBAMS:2014:490, Civiel recht, 
380, ECLI:NL:RVS:2024:4279, Bestuursrecht, 
